10010|21851179|185117|SUA TTRUNG LOTHAMILK C.DUONG490ML|10.00|0|21200.00|21200.00|1.00|CHAI
10010|8935007117067|185117|SUA TTRUNG LOTHAMILK C.DUONG490ML|10.00|0|21200.00|21200.00|1.00|CHAI
10010|8935007117135|185117|SUA TTRUNG LOTHAMILK C.DUONG490ML|10.00|0|21200.00|21200.00|1.00|CHAI
10010|21925818|192581|S.T.TRUNG LOTHAMILK C.DUONG1760ML|10.00|0|68100.00|68100.00|1.00|CHAI
10010|8935007117036|192581|S.T.TRUNG LOTHAMILK C.DUONG1760ML|10.00|0|68100.00|68100.00|1.00|CHAI
10010|8935007117104|192581|S.T.TRUNG LOTHAMILK C.DUONG1760ML|10.00|0|68100.00|68100.00|1.00|CHAI
10010|21999772|199977|SUA T.TRUNGLOTHAMILK C.DUONG880ML|10.00|0|36800.00|36800.00|1.00|CHAI
10010|8935007117029|199977|SUA T.TRUNGLOTHAMILK C.DUONG880ML|10.00|0|36800.00|36800.00|1.00|CHAI
10010|8935007117098|199977|SUA T.TRUNGLOTHAMILK C.DUONG880ML|10.00|0|36800.00|36800.00|1.00|CHAI
10010|22147295|214729|S.THANH TRUNG C.DUONG DLM450ML|10.00|0|24500.00|24500.00|1.00|HOP
10010|8938503131063|214729|S.THANH TRUNG C.DUONG DLM450ML|10.00|0|24500.00|24500.00|1.00|HOP
10010|22170996|217099|SUA TH.TRUNG IT DUONG TH 950ML|10.00|0|38500.00|38500.00|1.00|HOP
10010|8935217403325|217099|SUA TH.TRUNG IT DUONG TH 950ML|10.00|0|38500.00|38500.00|1.00|HOP
10010|8935217404322|217099|SUA TH.TRUNG IT DUONG TH 950ML|10.00|0|38500.00|38500.00|1.00|HOP
10010|22588746|258874|SUA TH.TRUNG IT DUONG TH 450ML|10.00|0|21500.00|21500.00|1.00|HOP
10010|8935217403370|258874|SUA TH.TRUNG IT DUONG TH 450ML|10.00|0|21500.00|21500.00|1.00|HOP
10010|8935217404377|258874|SUA TH.TRUNG IT DUONG TH 450ML|10.00|0|21500.00|21500.00|1.00|HOP
10010|23222830|322283|S.T.TRUNG LOTHAMILK K.DUONG 900ML|10.00|P|38800.00|33000.00|1.00|HOP
10010|8935007101059|322283|S.T.TRUNG LOTHAMILK K.DUONG 900ML|10.00|P|38800.00|33000.00|1.00|HOP
10010|23327443|332744|SDN TH.TRUNG ICHIBAN 350ML|10.00|0|17000.00|17000.00|1.00|CHAI
